ipa,syl,son,cons,cont,delrel,lat,nas,stri,den,voi,sg,cg,ant,dist,lab,hi,low,fro,ba,rou,reduc,ten,impl,cli,linglab,lon,tonhi,tonce,tonmi,tonris,tonfal,tonconv,stre,strepri
t̪ʷ,-,-,+,-,-,-,-,-,+,-,-,-,0,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̪̪ʷ,-,-,+,-,-,-,-,-,+,-,-,-,0,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
d̪ʷ,-,-,+,-,-,-,-,-,+,+,-,-,0,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̪̺̪ʷː,-,-,+,-,-,-,-,-,+,-,-,-,0,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
t̪ʷː,-,-,+,-,-,-,-,-,+,-,-,-,0,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
t̪̪ʷː,-,-,+,-,-,-,-,-,+,-,-,-,0,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
d̪ʷː,-,-,+,-,-,-,-,-,+,+,-,-,0,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ʈ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ʈ̟,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ʈ̠,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ɖ,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ɖ̟,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ɖ̠,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ʈː,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ɖː,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ʈ̻,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ɖ̻,-,-,+,-,-,-,-,-,-,+,-,-,-,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ʈ̻ː,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ɖ̻ː,-,-,+,-,-,-,-,-,-,+,-,-,-,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
t,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̟,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̠,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̪̺,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
d,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
d̟,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
d̠,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
d̪̺,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
tː,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
t̪̺ː,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
dː,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
d̪̺ː,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
t̪,-,-,+,-,-,-,-,-,+,-,-,-,+,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̪̪,-,-,+,-,-,-,-,-,+,-,-,-,+,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̪,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̪̟,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̪̠,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̻,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
d̪,-,-,+,-,-,-,-,-,+,+,-,-,+,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
d̪,-,-,+,-,-,-,-,-,+,+,-,-,+,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
d̪̟,-,-,+,-,-,-,-,-,+,+,-,-,+,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
d̪̠,-,-,+,-,-,-,-,-,+,+,-,-,+,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
d̻,-,-,+,-,-,-,-,-,-,+,-,-,+,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̪ː,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
t̪̺̪ː,-,-,+,-,-,-,-,-,+,-,-,-,+,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
t̪ː,-,-,+,-,-,-,-,-,+,-,-,-,+,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
t̪̪ː,-,-,+,-,-,-,-,-,+,-,-,-,+,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
t̻ː,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
d̪ː,-,-,+,-,-,-,-,-,+,+,-,-,+,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
d̪ː,-,-,+,-,-,-,-,-,+,+,-,-,+,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
d̻ː,-,-,+,-,-,-,-,-,-,+,-,-,+,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
p̪,-,-,+,-,-,-,-,0,+,-,-,-,0,0,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
p,-,-,+,-,-,-,-,0,0,-,-,-,0,0,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
p̟,-,-,+,-,-,-,-,0,0,-,-,-,0,0,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
p̪̟,-,-,+,-,-,-,-,0,+,-,-,-,0,0,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
p̠,-,-,+,-,-,-,-,0,0,-,-,-,0,0,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
p̪̠,-,-,+,-,-,-,-,0,+,-,-,-,0,0,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
p̺,-,-,+,-,-,-,-,0,0,-,-,-,0,0,+,0,0,0,0,-,0,0,-,-,+,-,0,0,0,0,0,0,0,0
p̪̺,-,-,+,-,-,-,-,0,+,-,-,-,0,0,+,0,0,0,0,-,0,0,-,-,+,-,0,0,0,0,0,0,0,0
b̪,-,-,+,-,-,-,-,0,+,+,-,-,0,0,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
b,-,-,+,-,-,-,-,0,0,+,-,-,0,0,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
b̪̟,-,-,+,-,-,-,-,0,+,+,-,-,0,0,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
b̟,-,-,+,-,-,-,-,0,0,+,-,-,0,0,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
b̠,-,-,+,-,-,-,-,0,0,+,-,-,0,0,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
b̪̠,-,-,+,-,-,-,-,0,+,+,-,-,0,0,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
b̪̺,-,-,+,-,-,-,-,0,+,+,-,-,0,0,+,0,0,0,0,-,0,0,-,-,+,-,0,0,0,0,0,0,0,0
b̺,-,-,+,-,-,-,-,0,0,+,-,-,0,0,+,0,0,0,0,-,0,0,-,-,+,-,0,0,0,0,0,0,0,0
pː,-,-,+,-,-,-,-,0,0,-,-,-,0,0,+,0,0,0,0,-,0,0,-,-,0,+,0,0,0,0,0,0,0,0
p̪ː,-,-,+,-,-,-,-,0,+,-,-,-,0,0,+,0,0,0,0,-,0,0,-,-,0,+,0,0,0,0,0,0,0,0
b̪ː,-,-,+,-,-,-,-,0,+,+,-,-,0,0,+,0,0,0,0,-,0,0,-,-,0,+,0,0,0,0,0,0,0,0
bː,-,-,+,-,-,-,-,0,0,+,-,-,0,0,+,0,0,0,0,-,0,0,-,-,0,+,0,0,0,0,0,0,0,0
pʷ,-,-,+,-,-,-,-,0,0,-,-,-,0,0,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
p̪ʷ,-,-,+,-,-,-,-,0,+,-,-,-,0,0,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
b̪ʷ,-,-,+,-,-,-,-,0,+,+,-,-,0,0,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
bʷ,-,-,+,-,-,-,-,0,0,+,-,-,0,0,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
pʷː,-,-,+,-,-,-,-,0,0,-,-,-,0,0,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
p̪ʷː,-,-,+,-,-,-,-,0,+,-,-,-,0,0,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
pːʷ,-,-,+,-,-,-,-,0,0,-,-,-,0,0,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
p̪ːʷ,-,-,+,-,-,-,-,0,+,-,-,-,0,0,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
b̪ʷː,-,-,+,-,-,-,-,0,+,+,-,-,0,0,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
bʷː,-,-,+,-,-,-,-,0,0,+,-,-,0,0,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
b̪ːʷ,-,-,+,-,-,-,-,0,+,+,-,-,0,0,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
bːʷ,-,-,+,-,-,-,-,0,0,+,-,-,0,0,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
p͡t̪ʷ,-,-,+,-,-,-,-,+,+,-,-,-,0,+,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
b͡d̪ʷ,-,-,+,-,-,-,-,+,+,+,-,-,0,+,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
p͡t̪ʷː,-,-,+,-,-,-,-,+,+,-,-,-,0,+,+,0,0,0,0,-,0,0,-,-,0,+,0,0,0,0,0,0,0,0
b͡d̪ʷː,-,-,+,-,-,-,-,+,+,+,-,-,0,+,+,0,0,0,0,-,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ʈʷ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ɖʷ,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ʈʷː,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ʈːʷ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ɖʷː,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ɖːʷ,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ʈ̻ʷ,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ɖ̻ʷ,-,-,+,-,-,-,-,-,-,+,-,-,-,+,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ʈ̻ʷː,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ɖ̻ʷː,-,-,+,-,-,-,-,-,-,+,-,-,-,+,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
t̼,-,-,+,-,-,-,-,-,-,-,-,-,+,-,+,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
d̼,-,-,+,-,-,-,-,-,-,+,-,-,+,-,+,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
p͡t̼,-,-,+,-,-,-,-,+,-,-,-,-,+,-,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
p͡t,-,-,+,-,-,-,-,+,-,-,-,-,+,-,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
p͡t̟,-,-,+,-,-,-,-,+,-,-,-,-,+,-,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
p͡t̠,-,-,+,-,-,-,-,+,-,-,-,-,+,-,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
p͡t̺,-,-,+,-,-,-,-,+,-,-,-,-,+,-,+,0,0,0,0,-,0,0,-,-,+,-,0,0,0,0,0,0,0,0
b͡d̼,-,-,+,-,-,-,-,+,-,+,-,-,+,-,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
b͡d,-,-,+,-,-,-,-,+,-,+,-,-,+,-,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
b͡d̟,-,-,+,-,-,-,-,+,-,+,-,-,+,-,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
b͡d̠,-,-,+,-,-,-,-,+,-,+,-,-,+,-,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
b͡d̺,-,-,+,-,-,-,-,+,-,+,-,-,+,-,+,0,0,0,0,-,0,0,-,-,+,-,0,0,0,0,0,0,0,0
p͡tː,-,-,+,-,-,-,-,+,-,-,-,-,+,-,+,0,0,0,0,-,0,0,-,-,0,+,0,0,0,0,0,0,0,0
b͡dː,-,-,+,-,-,-,-,+,-,+,-,-,+,-,+,0,0,0,0,-,0,0,-,-,0,+,0,0,0,0,0,0,0,0
tʷ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
p͡tʷ,-,-,+,-,-,-,-,+,-,-,-,-,+,-,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̪̺ʷ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
dʷ,-,-,+,-,-,-,-,-,-,+,-,-,+,-,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
b͡dʷ,-,-,+,-,-,-,-,+,-,+,-,-,+,-,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
d̪̺ʷ,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
tʷː,-,-,+,-,-,-,-,-,-,-,-,-,+,-,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
p͡tʷː,-,-,+,-,-,-,-,+,-,-,-,-,+,-,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
tːʷ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
p͡tːʷ,-,-,+,-,-,-,-,+,-,-,-,-,+,-,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
t̪̺ʷː,-,-,+,-,-,-,-,-,-,-,-,-,+,-,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
dʷː,-,-,+,-,-,-,-,-,-,+,-,-,+,-,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
b͡dʷː,-,-,+,-,-,-,-,+,-,+,-,-,+,-,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
dːʷ,-,-,+,-,-,-,-,-,-,+,-,-,+,-,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
b͡dːʷ,-,-,+,-,-,-,-,+,-,+,-,-,+,-,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
d̪̺ʷː,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
t̪̼,-,-,+,-,-,-,-,-,-,-,-,-,+,+,+,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
d̪̼,-,-,+,-,-,-,-,-,+,+,-,-,+,+,+,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
p͡t̪,-,-,+,-,-,-,-,+,+,-,-,-,+,+,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
p͡t̻,-,-,+,-,-,-,-,+,-,-,-,-,+,+,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
b͡d̪,-,-,+,-,-,-,-,+,+,+,-,-,+,+,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
b͡d̻,-,-,+,-,-,-,-,+,-,+,-,-,+,+,+,0,0,0,0,-,0,0,-,-,0,-,0,0,0,0,0,0,0,0
p͡t̪ː,-,-,+,-,-,-,-,+,+,-,-,-,+,+,+,0,0,0,0,-,0,0,-,-,0,+,0,0,0,0,0,0,0,0
p͡t̻ː,-,-,+,-,-,-,-,+,-,-,-,-,+,+,+,0,0,0,0,-,0,0,-,-,0,+,0,0,0,0,0,0,0,0
b͡d̪ː,-,-,+,-,-,-,-,+,+,+,-,-,+,+,+,0,0,0,0,-,0,0,-,-,0,+,0,0,0,0,0,0,0,0
b͡d̻ː,-,-,+,-,-,-,-,+,-,+,-,-,+,+,+,0,0,0,0,-,0,0,-,-,0,+,0,0,0,0,0,0,0,0
t̪ʷ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̪̺̪ʷ,-,-,+,-,-,-,-,-,+,-,-,-,+,+,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̻ʷ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
p͡t̻ʷ,-,-,+,-,-,-,-,+,-,-,-,-,+,+,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
d̪ʷ,-,-,+,-,-,-,-,-,+,+,-,-,+,+,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
d̻ʷ,-,-,+,-,-,-,-,-,-,+,-,-,+,+,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
b͡d̻ʷ,-,-,+,-,-,-,-,+,-,+,-,-,+,+,+,0,0,0,0,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̪ʷː,-,-,+,-,-,-,-,-,-,-,-,-,+,+,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
t̻ʷː,-,-,+,-,-,-,-,-,-,-,-,-,+,+,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
p͡t̻ʷː,-,-,+,-,-,-,-,+,-,-,-,-,+,+,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
t̪ːʷ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
d̪ʷː,-,-,+,-,-,-,-,-,+,+,-,-,+,+,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
d̻ʷː,-,-,+,-,-,-,-,-,-,+,-,-,+,+,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
b͡d̻ʷː,-,-,+,-,-,-,-,+,-,+,-,-,+,+,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
d̪ːʷ,-,-,+,-,-,-,-,-,+,+,-,-,+,+,+,0,0,0,0,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
q,-,-,+,-,-,-,-,0,0,-,-,-,0,0,-,-,-,-,+,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
q̟,-,-,+,-,-,-,-,0,0,-,-,-,0,0,-,-,-,-,+,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
q̠,-,-,+,-,-,-,-,0,0,-,-,-,0,0,-,-,-,-,+,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ɢ,-,-,+,-,-,-,-,0,0,+,-,-,0,0,-,-,-,-,+,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ɢ̟,-,-,+,-,-,-,-,0,0,+,-,-,0,0,-,-,-,-,+,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ɢ̠,-,-,+,-,-,-,-,0,0,+,-,-,0,0,-,-,-,-,+,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
qː,-,-,+,-,-,-,-,0,0,-,-,-,0,0,-,-,-,-,+,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ɢː,-,-,+,-,-,-,-,0,0,+,-,-,0,0,-,-,-,-,+,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
qʷ,-,-,+,-,-,-,-,0,0,-,-,-,0,0,+,-,-,-,+,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ɢʷ,-,-,+,-,-,-,-,0,0,+,-,-,0,0,+,-,-,-,+,+,0,0,-,-,0,-,0,0,0,0,0,0,0,0
qʷː,-,-,+,-,-,-,-,0,0,-,-,-,0,0,+,-,-,-,+,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
qːʷ,-,-,+,-,-,-,-,0,0,-,-,-,0,0,+,-,-,-,+,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ɢʷː,-,-,+,-,-,-,-,0,0,+,-,-,0,0,+,-,-,-,+,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ɢːʷ,-,-,+,-,-,-,-,0,0,+,-,-,0,0,+,-,-,-,+,+,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ʡ,-,-,+,-,-,-,-,0,0,-,-,-,0,0,-,-,+,-,+,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ʡ̟,-,-,+,-,-,-,-,0,0,-,-,-,0,0,-,-,+,-,+,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ʡ̠,-,-,+,-,-,-,-,0,0,-,-,-,0,0,-,-,+,-,+,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
qˤ,-,-,+,-,-,-,-,0,0,-,-,-,0,0,-,-,+,-,+,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
kˤ,-,-,+,-,-,-,-,0,0,-,-,-,0,0,-,-,+,-,+,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ɢˤ,-,-,+,-,-,-,-,0,0,+,-,-,0,0,-,-,+,-,+,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ɡˤ,-,-,+,-,-,-,-,0,0,+,-,-,0,0,-,-,+,-,+,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
kˤː,-,-,+,-,-,-,-,0,0,-,-,-,0,0,-,-,+,-,+,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
qˤː,-,-,+,-,-,-,-,0,0,-,-,-,0,0,-,-,+,-,+,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
qːˤ,-,-,+,-,-,-,-,0,0,-,-,-,0,0,-,-,+,-,+,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ʡːˤ,-,-,+,-,-,-,-,0,0,-,-,-,0,0,-,-,+,-,+,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
kːˤ,-,-,+,-,-,-,-,0,0,-,-,-,0,0,-,-,+,-,+,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ʡː,-,-,+,-,-,-,-,0,0,-,-,-,0,0,-,-,+,-,+,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ɢˤː,-,-,+,-,-,-,-,0,0,+,-,-,0,0,-,-,+,-,+,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ɡˤː,-,-,+,-,-,-,-,0,0,+,-,-,0,0,-,-,+,-,+,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ɢːˤ,-,-,+,-,-,-,-,0,0,+,-,-,0,0,-,-,+,-,+,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ɡːˤ,-,-,+,-,-,-,-,0,0,+,-,-,0,0,-,-,+,-,+,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ǀ̺̪ʷˤ,-,-,+,-,-,-,-,0,+,-,-,-,0,+,-,-,+,-,+,0,0,0,-,+,0,-,0,0,0,0,0,0,0,0
t̪̺̪ʷˤ,-,-,+,-,-,-,-,-,+,-,-,-,0,+,-,-,+,-,+,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ǃ̪ʷˤ,-,-,+,-,-,-,-,0,+,-,-,-,0,+,-,-,+,-,+,0,0,0,-,+,0,-,0,0,0,0,0,0,0,0
